,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
7,500101008,YouBike2.0_新生南路三段52號前,17,7,大安區,2023-05-27 14:18:13,25.02112,121.53407,新生南路三段52號,Daan Dist.,YouBike2.0_No. 52， Sec. 3， Xinsheng S. Rd.,No. 52， Sec. 3， Xinsheng S. Rd.,9,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:18:13,2023-05-27
12,500101014,YouBike2.0_羅斯福路三段311號前,11,7,大安區,2023-05-27 14:22:14,25.01717,121.53202,羅斯福路三段311號,Daan Dist.,YouBike2.0_No. 311， Sec. 3， Roosevelt Rd.,No. 311， Sec. 3， Roosevelt Rd.,4,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
13,500101015,YouBike2.0_大安運動中心停車場,14,4,大安區,2023-05-27 13:56:15,25.020348,121.546446,敦南街76巷28號,Daan Dist.,YouBike2.0_Taipei Da-an Sports Center Parking lot,No. 28， Ln. 76， Dunnan St.,10,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 13:56:15,2023-05-27
14,500101016,YouBike2.0_羅斯福路三段245號前,8,4,大安區,2023-05-27 14:17:33,25.01927,121.52989,羅斯福路三段245號,Daan Dist.,YouBike2.0_No. 245， Sec. 3， Roosevelt Rd.,No. 245， Sec. 3， Roosevelt Rd.,4,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:17:33,2023-05-27
16,500101019,YouBike2.0_和平臥龍街口,15,10,大安區,2023-05-27 14:22:14,25.024461,121.546705,臥龍街1號,Daan Dist.,YouBike2.0_Heping Wolong St. Intersection,No. 1， Wolong St.,5,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
20,500101023,YouBike2.0_第二學生活動中心,27,13,大安區,2023-05-27 14:21:15,25.01244,121.53661,羅斯福路四段107號(西南側),Daan Dist.,YouBike2.0_2nd Student Activity Center,No. 107， Sec. 4， Roosevelt Rd.(Southwest),14,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
21,500101024,YouBike2.0_臺灣科技大學正門,30,12,大安區,2023-05-27 14:08:14,25.01451,121.54142,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),Daan Dist.,YouBike2.0_NTUST(Main Gate),No. 43， Sec. 4， Keelung Rd.,17,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:08:14,2023-05-27
22,500101025,YouBike2.0_臺灣科技大學側門,99,23,大安區,2023-05-27 14:24:14,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,75,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
24,500101027,YouBike2.0_臺灣科技大學後門,39,13,大安區,2023-05-27 14:23:15,25.01182,121.54165,基隆路四段41巷68弄臺科帆船大樓旁,Daan Dist.,YouBike2.0_NTUST(Back Gate),Aly. 68， Ln. 41， Sec. 4， Keelung Rd.,25,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
26,500101029,YouBike2.0_臺大環研大樓,15,4,大安區,2023-05-27 14:06:16,25.01234,121.54503,芳蘭路/基隆路三段155巷口,Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection,11,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:06:16,2023-05-27
